name,source,gender,wikidata,type
"1300 каплара",wikidata,,Q12744396,way
Ђаковачка,wikidata,,Q474651,way
Ђалинска,wikidata,,Q572900,way
Ђачка,wikidata,,Q48942,way
Ђевђелијска,wikidata,,Q157061,way
Ђердапска,wikidata,,Q1258055,way
Ђурђевданска,wikidata,,Q212829,way
"Ђурђевића Таре",wikidata,,Q3593893,way
Јабланска,wikidata,,Q3377825,way
Јабука,wikidata,,Q89,way
Јабучка,wikidata,,Q15229107,way
Јагодинска,wikidata,,Q390358,way
Јадранска,wikidata,,Q13924,way
Јазачка,wikidata,,Q1065823,way
"Јаниса Јанулиса",wikidata,,Q25464403,way
Јапанска,wikidata,,Q17,way
Јасенова,wikidata,,Q128887,way
"Јасеновачка улица",wikidata,,Q605889,way
Јасенска,wikidata,,Q128887,way
Јасмина,wikidata,,Q82014,way
Јасписа,wikidata,,Q201175,way
Јастребачка,wikidata,,Q1684066,way
"Јатачка улица",wikidata,,Q12747606,way
Јахоринска,wikidata,,Q187944,way
Јеврејска,wikidata,,Q7325,way
"Једанаесте крајишке дивизије",wikidata,,Q141346,way
Једренска,wikidata,,Q43387,way
Јелашничка,wikidata,,Q65203436,way
Јеличка,wikidata,,Q25350,way
Јерусалимска,wikidata,,Q1218,way
Јонска,wikidata,,Q37495,way
Јорганџијска,wikidata,,Q31183897,way
Јоргована,wikidata,,Q157449,way
Јувелирска,wikidata,,Q4886928,way
Југословенска,wikidata,,Q36704,way
Јужна,wikidata,,Q667,way
"Јужни булевар",wikidata,,Q667,way
Јужноморавска,wikidata,,Q591974,way
"Јужноморавске бригаде",wikidata,,Q20435891,way
Јунска,wikidata,,Q120,way
Јухорова,wikidata,,Q3113323,way
Јухорска,wikidata,,Q3113323,way
Љевошка,wikidata,,Q12747884,way
Љешка,wikidata,,Q169160,way
Љубичица,wikidata,,Q146095,way
Љубињска,wikidata,,Q936404,way
Љубићка,wikidata,,Q16086490,way
Љубовијска,wikidata,,Q1900390,way
Љуботенска,wikidata,,Q3071262,way
Љубљанска,wikidata,,Q437,way
Ћехотинска,wikidata,,Q336360,way
Ћилибара,wikidata,,Q25381,way
"Ћирила и Методија",wikidata,,Q239925,way
Ћуковачка,wikidata,,Q3081377,way
"Ћуковачки кут",wikidata,,Q3081377,way
"Ћуковачки руб",wikidata,,Q3081377,way
Ћупријска,wikidata,,Q336475,way
Авалска,wikidata,,Q790075,way
Авијатичара,wikidata,,Q2095549,way
"Авијатичарски трг",wikidata,,Q2095549,way
"Ада Хуја",wikidata,,Q2823871,way
Адмиралска,wikidata,,Q132851,way
Аеродромска,wikidata,,Q127955,way
Азањска,wikidata,,Q2875094,way
Академска,wikidata,,Q162633,way
"Академски плато",wikidata,,Q162633,way
